"","Source","Target"
"163","Steve_Jobs","Graphical_user_interface"
"164","Steve_Jobs","United_States"
"165","Steve_Jobs","George_Lucas"
"166","Steve_Jobs","Board_of_directors"
"167","Steve_Jobs","IPhone"
"168","Steve_Jobs","Tim_Cook"
"169","Steve_Jobs","Chairman"
"170","Steve_Jobs","The_New_York_Times"
"171","Steve_Jobs","Apple_Inc"
"172","Steve_Jobs","San_Francisco_Chronicle"
"173","Steve_Jobs","International_Standard_Serial_Number"
"174","Steve_Jobs","Microsoft"
"175","Steve_Jobs","Stanford_University"
"176","Steve_Jobs","June_12"
"177","Steve_Jobs","2005"
"178","Steve_Jobs","Internet_Movie_Database"
"179","Steve_Jobs","Multimedia"
"180","https://simple.wikipedia.org/wiki/Blue_box","Student"
"181","Student","Mathematics"
"182","Student","Learn"
"183","Student","Child"
"184","Student","Teenager"
"185","Student","Adult"
"186","Student","School"
"187","Student","College"
"188","Student","University"
"189","Student","Education"
"190","https://simple.wikipedia.org/wiki/Blue_box","University_of_California"
"191","University_of_California","Public_university"
"192","University_of_California","California"
"193","University_of_California","Higher_education"
"194","University_of_California","California_State_University"
"195","University_of_California","Student"
"196","University_of_California","Campus"
"197","University_of_California","Association_of_American_Universities"
"198","University_of_California","Janet_Napolitano"
"199","University_of_California","Multimedia"
"200","https://simple.wikipedia.org/wiki/Blue_box","Pope"
"201","Pope","Pope_Francis"
"202","Pope","Pope_Sylvester_I"
"203","Pope","Pisa"
"204","Pope","Catholic_Church"
"205","Pope","Head_of_state"
"206","Pope","Vatican_City"
"207","Pope","Bishop"
"208","Pope","Pope_Benedict_XVI"
"209","Pope","Regnal_name"
"210","Pope","Habemus_Papam"
"211","Pope","Jorge_Bergoglio"
"212","Pope","Greek_language"
"213","Pope","God"
"214","Pope","Country"
"215","Pope","Religion"
"216","Pope","Mitre"
"217","Pope","Crosier"
"218","Pope","Pope_John_XXIII"
"219","Pope","Pope_Paul_VI"
"220","Pope","Pope_John_Paul_I"
"221","Pope","Pope_John_Paul_II"
"222","Pope","Avignon"
"223","Pope","Avignon_Papacy"
"224","Pope","Corruption"
"225","Pope","Ally"
"226","Pope","Pope_Clement_V"
"227","Pope","Pope_John_XXII"
"228","Pope","Pope_Benedict_XII"
"229","Pope","Pope_Clement_VI"
"230","Pope","Pope_Innocent_VI"
"231","Pope","Pope_Urban_V"
"232","Pope","Pope_Gregory_XI"
"233","Pope","Antipope_Benedict_XIII"
"234","Pope","Antipope"
"235","Pope","Catherine_of_Siena"
"236","Pope","Pope_Urban_VI"
"237","Pope","Western_Schism"
"238","Pope","Council_of_Constance"
"239","Pope","Pope_Martin_V"
"240","Pope","Abdication"
"241","Pope","Papal_name"
"242","Pope","Popes"
"243","Pope","Wikimedia_Commons"
"244","Pope","Roman_Catholic_Church"
"245","Pope","Saint_Peter"
"246","Pope","Pope_Linus"
"247","Pope","Pope_Anacletus"
"248","Pope","Pope_Clement_I"
"249","Pope","Pope_Evaristus"
"250","Pope","Pope_Alexander_I"
"251","Pope","Pope_Sixtus_I"
"252","Pope","Pope_Telesphorus"
"253","Pope","Pope_Hyginus"
"254","Pope","Pope_Pius_I"
"255","Pope","Pope_Anicetus"
"256","Pope","Pope_Soter"
"257","Pope","Pope_Eleuterus"
"258","Pope","Pope_Victor_I"
"259","Pope","Pope_Zephyrinus"
"260","Pope","Pope_Callixtus_I"
"261","Pope","Pope_Urban_I"
"262","Pope","Pope_Pontian"
"263","Pope","Pope_Anterus"
"264","Pope","Pope_Fabian"
"265","Pope","Pope_Cornelius"
"266","Pope","Pope_Lucius_I"
"267","Pope","Pope_Stephen_I"
"268","Pope","Pope_Sixtus_II"
"269","Pope","Pope_Dionysius"
"270","Pope","Pope_Felix_I"
"271","Pope","Pope_Eutychian"
"272","Pope","Pope_Caius"
"273","Pope","Pope_Marcellinus"
"274","Pope","Pope_Marcellus_I"
"275","Pope","Pope_Eusebius"
"276","Pope","Pope_Miltiades"
"277","Pope","Pope_Mark"
"278","Pope","Pope_Julius_I"
"279","Pope","Pope_Liberius"
"280","Pope","Pope_Damasus_I"
"281","Pope","Pope_Siricius"
"282","Pope","Pope_Anastasius_I"
"283","Pope","Pope_Innocent_I"
"284","Pope","Pope_Zosimus"
"285","Pope","Pope_Boniface_I"
"286","Pope","Pope_Celestine_I"
"287","Pope","Pope_Sixtus_III"
"288","Pope","Pope_Leo_I"
"289","Pope","Pope_Hilarius"
"290","Pope","Pope_Simplicius"
"291","Pope","Pope_Felix_III"
"292","Pope","Pope_Gelasius_I"
"293","Pope","Pope_Anastasius_II"
"294","Pope","Pope_Symmachus"
"295","Pope","Pope_Hormisdas"
"296","Pope","Pope_John_I"
"297","Pope","Pope_Felix_IV"
"298","Pope","Pope_Boniface_II"
"299","Pope","Pope_John_II"
"300","Pope","Pope_Agapetus_I"
"301","Pope","Pope_Silverius"
"302","Pope","Pope_Vigilius"
"303","Pope","Pope_Pelagius_I"
"304","Pope","Pope_John_III"
"305","Pope","Pope_Benedict_I"
"306","Pope","Pope_Pelagius_II"
"307","Pope","Pope_Gregory_I"
"308","Pope","Pope_Sabinian"
"309","Pope","Pope_Boniface_III"
"310","Pope","Pope_Boniface_IV"
"311","Pope","Pope_Adeodatus_I"
"312","Pope","Pope_Boniface_V"
"313","Pope","Pope_Honorius_I"
"314","Pope","Pope_Severinus"
"315","Pope","Pope_John_IV"
"316","Pope","Pope_Theodore_I"
"317","Pope","Pope_Martin_I"
"318","Pope","Pope_Eugene_I"
"319","Pope","Pope_Vitalian"
"320","Pope","Pope_Adeodatus_II"
"321","Pope","Pope_Donus"
"322","Pope","Pope_Agatho"
"323","Pope","Pope_Leo_II"
"324","Pope","Pope_Benedict_II"
"325","Pope","Pope_John_V"
"326","Pope","Pope_Conon"
"327","Pope","Pope_Sergius_I"
"328","Pope","Pope_John_VI"
"329","Pope","Pope_John_VII"
"330","Pope","Pope_Sisinnius"
"331","Pope","Pope_Constantine"
"332","Pope","Pope_Gregory_II"
"333","Pope","Pope_Gregory_III"
"334","Pope","Pope_Zachary"
"335","Pope","Pope_Stephen_II"
"336","Pope","Pope_Paul_I"
"337","Pope","Pope_Stephen_III"
"338","Pope","Pope_Adrian_I"
"339","Pope","Pope_Leo_III"
"340","Pope","Pope_Stephen_IV"
"341","Pope","Pope_Paschal_I"
"342","Pope","Pope_Eugene_II"
"343","Pope","Pope_Valentine"
"344","Pope","Pope_Gregory_IV"
"345","Pope","Pope_Sergius_II"
"346","Pope","Pope_Leo_IV"
"347","Pope","Pope_Benedict_III"
"348","Pope","Pope_Nicholas_I"
"349","Pope","Pope_Adrian_II"
"350","Pope","Pope_John_VIII"
"351","Pope","Pope_Marinus_I"
"352","Pope","Pope_Adrian_III"
"353","Pope","Pope_Stephen_V"
"354","Pope","Pope_Formosus"
"355","Pope","Pope_Boniface_VI"
"356","Pope","Pope_Stephen_VI"
"357","Pope","Pope_Romanus"
"358","Pope","Pope_Theodore_II"
"359","Pope","Pope_John_IX"
"360","Pope","Pope_Benedict_IV"
"361","Pope","Pope_Leo_V"
"362","Pope","Pope_Sergius_III"
"363","Pope","Pope_Anastasius_III"
"364","Pope","Pope_Lando"
"365","Pope","Pope_John_X"
"366","Pope","Pope_Leo_VI"
"367","Pope","Pope_Stephen_VII"
"368","Pope","Pope_John_XI"
"369","Pope","Pope_Leo_VII"
"370","Pope","Pope_Stephen_VIII"
"371","Pope","Pope_Marinus_II"
"372","Pope","Pope_Agapetus_II"
"373","Pope","Pope_John_XII"
"374","Pope","Pope_Benedict_V"
"375","Pope","Pope_Leo_VIII"
"376","Pope","Pope_John_XIII"
"377","Pope","Pope_Benedict_VI"
"378","Pope","Pope_Benedict_VII"
"379","Pope","Pope_John_XIV"
"380","Pope","Pope_John_XV"
"381","Pope","Pope_Gregory_V"
"382","Pope","Pope_Sylvester_II"
"383","Pope","Pope_John_XVII"
"384","Pope","Pope_John_XVIII"
"385","Pope","Pope_Sergius_IV"
"386","Pope","Pope_Benedict_VIII"
"387","Pope","Pope_John_XIX"
"388","Pope","Pope_Benedict_IX"
"389","Pope","Pope_Sylvester_III"
"390","Pope","Pope_Gregory_VI"
"391","Pope","Pope_Clement_II"
"392","Pope","Pope_Damasus_II"
"393","Pope","Pope_Leo_IX"
"394","Pope","Pope_Victor_II"
"395","Pope","Pope_Stephen_IX"
"396","Pope","Pope_Nicholas_II"
"397","Pope","Pope_Alexander_II"
"398","Pope","Pope_Gregory_VII"
"399","Pope","Pope_Victor_III"
"400","Pope","Pope_Urban_II"
"401","Pope","Pope_Paschal_II"
"402","Pope","Pope_Gelasius_II"
"403","Pope","Pope_Callixtus_II"
"404","Pope","Pope_Honorius_II"
"405","Pope","Pope_Innocent_II"
"406","Pope","Pope_Celestine_II"
"407","Pope","Pope_Lucius_II"
"408","Pope","Pope_Eugene_III"
"409","Pope","Pope_Anastasius_IV"
"410","Pope","Pope_Adrian_IV"
"411","Pope","Pope_Alexander_III"
"412","Pope","Pope_Lucius_III"
"413","Pope","Pope_Urban_III"
"414","Pope","Pope_Gregory_VIII"
"415","Pope","Pope_Clement_III"
"416","Pope","Pope_Celestine_III"
"417","Pope","Pope_Innocent_III"
"418","Pope","Pope_Honorius_III"
"419","Pope","Pope_Gregory_IX"
"420","Pope","Pope_Celestine_IV"
"421","Pope","Pope_Innocent_IV"
"422","Pope","Pope_Alexander_IV"
"423","Pope","Pope_Urban_IV"
"424","Pope","Pope_Clement_IV"
"425","Pope","Pope_Gregory_X"
"426","Pope","Pope_Innocent_V"
"427","Pope","Pope_Adrian_V"
"428","Pope","Pope_John_XXI"
"429","Pope","Pope_Nicholas_III"
"430","Pope","Pope_Martin_IV"
"431","Pope","Pope_Honorius_IV"
"432","Pope","Pope_Nicholas_IV"
"433","Pope","Pope_Celestine_V"
"434","Pope","Pope_Boniface_VIII"
"435","Pope","Pope_Benedict_XI"
"436","Pope","Pope_Boniface_IX"
"437","Pope","Pope_Innocent_VII"
"438","Pope","Pope_Gregory_XII"
"439","Pope","Pope_Eugene_IV"
"440","Pope","Pope_Nicholas_V"
"441","Pope","Pope_Callixtus_III"
"442","Pope","Pope_Pius_II"
"443","Pope","Pope_Paul_II"
"444","Pope","Pope_Sixtus_IV"
"445","Pope","Pope_Innocent_VIII"
"446","Pope","Pope_Alexander_VI"
"447","Pope","Pope_Pius_III"
"448","Pope","Pope_Julius_II"
"449","Pope","Pope_Leo_X"
"450","Pope","Pope_Adrian_VI"
"451","Pope","Pope_Clement_VII"
"452","Pope","Pope_Paul_III"
"453","Pope","Pope_Julius_III"
"454","Pope","Pope_Marcellus_II"
"455","Pope","Pope_Paul_IV"
"456","Pope","Pope_Pius_IV"
"457","Pope","Pope_Pius_V"
"458","Pope","Pope_Gregory_XIII"
"459","Pope","Pope_Sixtus_V"
"460","Pope","Pope_Urban_VII"
"461","Pope","Pope_Gregory_XIV"
"462","Pope","Pope_Innocent_IX"
"463","Pope","Pope_Clement_VIII"
"464","Pope","Pope_Leo_XI"
"465","Pope","Pope_Paul_V"
"466","Pope","Pope_Gregory_XV"
"467","Pope","Pope_Urban_VIII"
"468","Pope","Pope_Innocent_X"
"469","Pope","Pope_Alexander_VII"
"470","Pope","Pope_Clement_IX"
"471","Pope","Pope_Clement_X"
"472","Pope","Pope_Innocent_XI"
"473","Pope","Pope_Alexander_VIII"
"474","Pope","Pope_Innocent_XII"
"475","Pope","Pope_Clement_XI"
"476","Pope","Pope_Innocent_XIII"
"477","Pope","Pope_Benedict_XIII"
"478","Pope","Pope_Clement_XII"
"479","Pope","Pope_Benedict_XIV"
"480","Pope","Pope_Clement_XIII"
"481","Pope","Pope_Clement_XIV"
"482","Pope","Pope_Pius_VI"
"483","Pope","Pope_Pius_VII"
"484","Pope","Pope_Leo_XII"
"485","Pope","Pope_Pius_VIII"
"486","Pope","Pope_Gregory_XVI"
"487","Pope","Pope_Pius_IX"
"488","Pope","Pope_Leo_XIII"
"489","Pope","Pope_Pius_X"
"490","Pope","Pope_Benedict_XV"
"491","Pope","Pope_Pius_XI"
"492","Pope","Pope_Pius_XII"
"493","https://simple.wikipedia.org/wiki/Blue_box","Red_box"
"494","Red_box","Tool"
"495","Red_box","Telephone"
"496","Red_box","Sound"
"497","Red_box","Company"
"498","Red_box","Coin"
"499","Red_box","Blue_box"
